player,season,total_total_yellow_cards,total_total_red_cards,total_goals,total_shots
aaron cresswell,2015,20.0,0.0,2,114
aaron cresswell,2016,4.0,0.0,2,106
aaron cresswell,2017,8.0,0.0,0,23
aaron hughes,2014,8.0,0.0,1,21
aaron hunt,2012,0.0,6.0,3,107
aaron hunt,2013,12.0,0.0,11,184
aaron hunt,2014,8.0,0.0,7,143
aaron hunt,2015,4.0,0.0,2,24
aaron hunt,2016,8.0,0.0,2,99
aaron hunt,2017,4.0,0.0,0,26
aaron lennon,2014,4.0,0.0,1,66
aaron lennon,2015,12.0,0.0,2,52
aaron lennon,2016,4.0,0.0,5,58
aaron lennon,2017,0.0,0.0,0,9
aaron leya iseka,2017,0.0,0.0,0,17
aaron martin,2017,4.0,0.0,0,41
aaron ramsey,2014,8.0,0.0,6,73
aaron ramsey,2015,24.0,0.0,6,129
aaron ramsey,2016,16.0,0.0,5,176
aaron ramsey,2017,12.0,0.0,0,45
aaron seydel,2017,0.0,0.0,1,12
aaron wilbraham,2014,0.0,0.0,0,2
abdelhamid el kaoutari,2012,8.0,0.0,0,18
abdelhamid el kaoutari,2013,8.0,6.0,0,73
abdelhamid el kaoutari,2014,12.0,6.0,1,82
abdelhamid el kaoutari,2015,12.0,0.0,0,85
abdelhamid el kaoutari,2016,8.0,0.0,1,39
abdelhamid el kaoutari,2017,0.0,0.0,0,2
abdou diallo,2015,0.0,0.0,0,1
abdou diallo,2017,0.0,0.0,0,15
abdoul ba,2015,0.0,0.0,0,16
abdoul razzagui camara,2012,0.0,0.0,1,17
abdoul sissoko,2015,4.0,0.0,0,24
abdoulay konko,2012,12.0,0.0,0,78
abdoulay konko,2013,12.0,0.0,1,85
abdoulay konko,2014,4.0,0.0,1,59
abdoulay konko,2015,0.0,0.0,0,8
abdoulay konko,2016,12.0,0.0,0,74
abdoulay konko,2017,8.0,0.0,0,28
abdoulaye ba,2015,40.0,0.0,1,74
abdoulaye bamba,2012,16.0,0.0,1,74
abdoulaye bamba,2017,4.0,0.0,1,7
abdoulaye diallo,2012,0.0,0.0,0,1
abdoulaye diallo,2016,0.0,0.0,0,4
abdoulaye keita,2012,0.0,0.0,0,1
abdoulaye keita,2013,0.0,0.0,0,5
abdoulaye keita,2014,0.0,0.0,0,9
abdoulaye keita,2015,0.0,0.0,0,9
abdoulaye keita,2017,0.0,0.0,0,6
abdul rahman baba,2013,0.0,0.0,0,32
abdul rahman baba,2015,12.0,0.0,0,51
abdul rahman baba,2017,8.0,0.0,0,36
abel aguilar,2013,56.0,0.0,3,149
abel aguilar,2014,28.0,0.0,1,108
abel aguilar,2015,20.0,0.0,0,48
abou diaby,2016,0.0,0.0,0,6
abou diaby,2017,4.0,0.0,0,5
aboubakar kamara,2015,0.0,0.0,0,1
abraham,2012,32.0,0.0,2,94
abraham,2013,112.0,0.0,2,284
abraham,2014,24.0,0.0,0,90
abraham,2015,56.0,0.0,4,222
abraham,2016,8.0,0.0,2,70
accursio bentivegna,2015,0.0,0.0,0,2
accursio bentivegna,2016,4.0,0.0,0,2
accursio bentivegna,2017,0.0,0.0,0,7
achraf lazaar,2015,8.0,0.0,2,98
achraf lazaar,2016,16.0,0.0,1,119
adam armstrong,2014,0.0,0.0,0,3
adam armstrong,2015,4.0,0.0,0,18
adam bodzek,2013,36.0,0.0,2,151
adam clayton,2017,20.0,0.0,0,63
adam federici,2016,0.0,0.0,0,4
adam federici,2017,4.0,0.0,0,1
adam forshaw,2017,12.0,0.0,0,58
adam lallana,2014,12.0,0.0,8,165
adam lallana,2015,16.0,0.0,5,113
adam lallana,2016,8.0,0.0,4,122
adam lallana,2017,8.0,0.0,7,74
adam masina,2016,32.0,6.0,2,115
adam masina,2017,16.0,0.0,1,67
adam matuschyk,2012,4.0,0.0,0,10
adam matuschyk,2015,0.0,0.0,0,18
adam ounas,2016,16.0,0.0,5,99
adam ounas,2017,16.0,6.0,0,50
adam smith,2016,40.0,0.0,4,228
adam smith,2017,48.0,0.0,2,192
adama ba,2012,0.0,0.0,0,20
adama ba,2013,4.0,0.0,0,28
adama ba,2014,4.0,0.0,3,39
adama diakhaby,2017,4.0,0.0,2,25
adama niane,2015,0.0,0.0,0,8
adama soumaoro,2014,0.0,6.0,0,11
adama soumaoro,2015,0.0,0.0,0,1
adama soumaoro,2016,24.0,0.0,1,86
adama soumaoro,2017,4.0,0.0,0,45
adel taarabt,2014,12.0,0.0,4,114
adel taarabt,2015,0.0,0.0,0,23
ademola lookman,2017,0.0,0.0,1,4
adil rami,2012,36.0,0.0,2,120
adil rami,2013,28.0,0.0,0,90
adil rami,2014,12.0,0.0,3,66
adil rami,2015,20.0,0.0,1,78
adil rami,2016,36.0,0.0,0,84
adil rami,2017,16.0,0.0,0,41
admir mehmedi,2014,8.0,0.0,12,191
admir mehmedi,2015,4.0,0.0,2,81
admir mehmedi,2016,8.0,0.0,2,86
admir mehmedi,2017,4.0,0.0,3,61
adnan januzaj,2014,28.0,0.0,4,136
adnan januzaj,2015,0.0,0.0,0,62
adnan januzaj,2016,4.0,0.0,1,28
adnan januzaj,2017,12.0,0.0,0,59
adnane tighadouini,2016,0.0,0.0,1,26
adrian mariappa,2014,20.0,0.0,1,58
adrian mariappa,2015,12.0,0.0,0,25
adrian mariappa,2016,0.0,0.0,0,8
adrian stoian,2013,4.0,0.0,3,64
adrian stoian,2014,8.0,0.0,0,35
adrian stoian,2017,8.0,0.0,1,33
adriano,2012,12.0,0.0,1,64
adriano,2013,12.0,0.0,5,66
adriano,2014,32.0,0.0,3,110
adriano,2015,8.0,0.0,0,44
adriano,2016,0.0,0.0,0,17
adriano russo,2016,8.0,0.0,1,22
adrien hunou,2014,4.0,0.0,0,43
adrien hunou,2017,8.0,0.0,1,46
adrien rabiot,2013,8.0,0.0,1,67
adrien rabiot,2014,8.0,0.0,2,78
adrien rabiot,2015,4.0,0.0,4,64
adrien rabiot,2016,16.0,0.0,1,76
adrien rabiot,2017,0.0,0.0,1,37
adrien regattin,2012,12.0,0.0,1,89
adrien regattin,2013,8.0,6.0,3,86
adrien regattin,2014,0.0,0.0,0,78
adrien regattin,2015,12.0,0.0,3,124
adrien regattin,2016,20.0,0.0,1,103
adrien thomasson,2012,4.0,0.0,0,6
adrien thomasson,2015,12.0,0.0,2,96
adrien thomasson,2016,28.0,0.0,2,137
adrien thomasson,2017,12.0,6.0,0,54
adrien trebel,2014,0.0,0.0,0,9
aduriz,2016,36.0,0.0,18,251
aduriz,2017,24.0,0.0,6,107
afriyie acquah,2012,16.0,0.0,0,57
afriyie acquah,2013,12.0,0.0,0,23
afriyie acquah,2014,28.0,0.0,1,130
afriyie acquah,2015,52.0,0.0,1,131
afriyie acquah,2016,36.0,0.0,2,117
afriyie acquah,2017,8.0,0.0,0,27
agon mehmeti,2012,0.0,0.0,0,6
ahmad benali,2017,0.0,0.0,1,32
ahmed elmohamady,2014,12.0,0.0,1,88
ahmed elmohamady,2015,16.0,0.0,2,122
ahmed elmohamady,2017,8.0,6.0,0,26
ahmed hegazy,2013,0.0,0.0,0,1
ahmed hegazy,2014,0.0,0.0,0,2
ahmed kantari,2012,8.0,0.0,0,35
ahmed kantari,2013,32.0,0.0,1,99
ahmed kantari,2015,24.0,0.0,1,95
ahmed kashi,2015,8.0,0.0,1,64
ahmed musa,2017,4.0,0.0,2,41
aiden mcgeady,2014,0.0,0.0,0,15
aiden mcgeady,2015,4.0,0.0,1,51
akaki gogia,2012,4.0,0.0,0,31
aketxe,2016,0.0,0.0,0,7
akram afif,2017,0.0,0.0,0,8
alaeddine yahia,2015,12.0,6.0,2,65
alaeddine yahia,2016,20.0,6.0,2,100
alaeddine yahia,2017,12.0,0.0,2,62
alan hutton,2013,16.0,0.0,0,58
alan hutton,2015,32.0,0.0,1,109
alan hutton,2016,32.0,0.0,2,103
alban lafont,2016,0.0,0.0,0,20
alban lafont,2017,8.0,0.0,0,10
alban meha,2015,4.0,0.0,3,117
albano bizzarri,2012,0.0,6.0,0,7
albano bizzarri,2013,0.0,0.0,0,6
albano bizzarri,2014,0.0,0.0,0,1
albano bizzarri,2015,4.0,0.0,0,24
albano bizzarri,2016,8.0,0.0,0,33
albano bizzarri,2017,8.0,0.0,0,9
albert adomah,2017,0.0,0.0,0,9
albert bunjaku,2012,0.0,0.0,1,53
albert rafetraniaina,2013,0.0,0.0,0,1
albert rafetraniaina,2014,0.0,0.0,0,6
albert rafetraniaina,2015,12.0,0.0,0,42
albert rafetraniaina,2016,4.0,0.0,0,2
alberto,2017,32.0,0.0,0,54
alberto aquilani,2012,20.0,0.0,0,110
alberto aquilani,2013,24.0,6.0,7,131
alberto aquilani,2014,28.0,0.0,6,161
alberto aquilani,2015,20.0,0.0,0,94
alberto aquilani,2017,8.0,0.0,1,33
alberto cerri,2013,0.0,0.0,0,2
alberto cerri,2017,0.0,0.0,0,1
alberto gilardino,2012,16.0,0.0,6,140
alberto gilardino,2013,16.0,0.0,13,235
alberto gilardino,2014,32.0,0.0,15,260
alberto gilardino,2015,0.0,0.0,4,68
alberto gilardino,2016,12.0,0.0,9,179
alberto gilardino,2017,8.0,0.0,0,54
alberto grassi,2015,0.0,0.0,0,7
alberto grassi,2016,24.0,0.0,0,66
alberto grassi,2017,8.0,0.0,0,22
alberto moreno,2013,20.0,0.0,0,44
alberto moreno,2014,20.0,6.0,3,110
alberto moreno,2015,24.0,0.0,2,103
alberto moreno,2016,12.0,0.0,1,106
alberto moreno,2017,4.0,0.0,0,11
alberto paloschi,2012,4.0,0.0,5,159
alberto paloschi,2013,4.0,0.0,7,95
alberto paloschi,2014,12.0,0.0,13,169
alberto paloschi,2015,8.0,0.0,9,207
alberto paloschi,2016,12.0,0.0,10,158
alberto paloschi,2017,0.0,0.0,0,24
alberto pelagotti,2016,0.0,0.0,0,8
alberto pelagotti,2017,0.0,0.0,0,5
alberto pomini,2014,0.0,0.0,0,5
alberto pomini,2015,0.0,0.0,0,4
albian ajeti,2016,0.0,0.0,0,2
albin ekdal,2012,12.0,0.0,1,164
albin ekdal,2013,32.0,0.0,1,186
albin ekdal,2014,24.0,0.0,1,100
albin ekdal,2015,28.0,0.0,5,204
albin ekdal,2016,16.0,0.0,1,75
albin ekdal,2017,8.0,0.0,0,34
alcatraz,2014,0.0,0.0,1,19
aldo kalulu,2016,0.0,0.0,2,10
aldo kalulu,2017,4.0,0.0,1,9
aleandro rosi,2012,8.0,0.0,0,95
aleandro rosi,2013,24.0,6.0,3,113
aleandro rosi,2014,16.0,6.0,2,75
aleandro rosi,2015,4.0,0.0,0,45
aleandro rosi,2016,24.0,0.0,0,148
aleandro rosi,2017,24.0,0.0,1,69
aleix vidal,2014,12.0,0.0,6,187
aleix vidal,2015,32.0,0.0,4,110
aleix vidal,2016,4.0,0.0,0,15
aleix vidal,2017,0.0,0.0,1,12
alejandro bedoya,2014,16.0,0.0,5,118
alejandro bedoya,2015,12.0,0.0,3,102
alejandro bedoya,2016,12.0,0.0,3,116
aleksandar ignjovski,2012,12.0,0.0,0,120
aleksandar ignjovski,2013,8.0,0.0,1,87
aleksandar ignjovski,2014,12.0,0.0,0,45
aleksandar ignjovski,2015,16.0,0.0,0,66
aleksandar ignjovski,2016,12.0,0.0,0,57
aleksandar ignjovski,2017,0.0,0.0,0,12
aleksandar katai,2017,4.0,0.0,0,13
aleksandar kolarov,2014,8.0,0.0,1,100
aleksandar kolarov,2015,16.0,0.0,2,85
aleksandar kolarov,2016,12.0,0.0,4,117
aleksandar kolarov,2017,24.0,0.0,2,78
aleksandar tonev,2014,0.0,0.0,0,32
aleksandar tonev,2016,8.0,0.0,0,60
aleksandar tonev,2017,4.0,0.0,0,20
aleksandar trajkovski,2016,8.0,0.0,3,119
aleksandar trajkovski,2017,0.0,0.0,1,1
alessandro bastoni,2017,0.0,0.0,0,4
alessandro bernardini,2014,0.0,0.0,1,24
alessandro bruno,2017,8.0,0.0,0,7
alessandro crescenzi,2014,8.0,0.0,0,38
alessandro crescenzi,2017,4.0,0.0,0,46
alessandro deiola,2017,0.0,0.0,0,1
alessandro diamanti,2012,24.0,0.0,6,248
alessandro diamanti,2013,40.0,0.0,7,377
alessandro diamanti,2014,32.0,0.0,5,230
alessandro diamanti,2015,16.0,0.0,2,91
alessandro diamanti,2016,16.0,0.0,1,96
alessandro diamanti,2017,24.0,0.0,0,98
alessandro florenzi,2013,12.0,0.0,3,115
alessandro florenzi,2014,16.0,0.0,6,97
alessandro florenzi,2015,36.0,0.0,5,120
alessandro florenzi,2016,16.0,0.0,7,115
alessandro florenzi,2017,12.0,0.0,0,38
alessandro frara,2016,12.0,0.0,2,47
alessandro gamberini,2012,24.0,0.0,0,86
alessandro gamberini,2013,12.0,0.0,1,69
alessandro gamberini,2014,4.0,0.0,0,27
alessandro gamberini,2015,8.0,0.0,0,53
alessandro gamberini,2016,4.0,0.0,1,51
alessandro gamberini,2017,0.0,0.0,1,15
alessandro gazzi,2012,28.0,0.0,1,107
alessandro gazzi,2013,28.0,0.0,2,95
alessandro gazzi,2014,4.0,0.0,0,16
alessandro gazzi,2015,52.0,0.0,0,91
alessandro gazzi,2016,16.0,0.0,0,39
alessandro gazzi,2017,12.0,0.0,0,41
alessandro iacobucci,2015,0.0,0.0,0,7
alessandro longhi,2014,16.0,0.0,2,80
alessandro longhi,2015,8.0,0.0,0,52
alessandro longhi,2016,4.0,0.0,0,8
alessandro matri,2012,16.0,0.0,10,161
alessandro matri,2013,12.0,0.0,8,79
alessandro matri,2014,12.0,0.0,5,126
alessandro matri,2015,8.0,0.0,7,107
alessandro matri,2016,4.0,6.0,4,57
alessandro matri,2017,4.0,0.0,5,38
alessandro murgia,2017,0.0,0.0,1,5
alessandro piu,2016,0.0,0.0,0,11
alessandro rosina,2013,16.0,0.0,5,155
alessandro rossi,2017,0.0,0.0,0,3
alessio cerci,2012,12.0,6.0,5,118
alessio cerci,2013,20.0,0.0,8,182
alessio cerci,2014,16.0,0.0,13,248
alessio cerci,2015,8.0,0.0,1,73
alessio cerci,2016,4.0,0.0,4,105
alessio cragno,2015,0.0,0.0,0,12
alessio romagnoli,2013,0.0,0.0,1,4
alessio romagnoli,2014,16.0,0.0,0,38
alessio romagnoli,2015,36.0,0.0,2,95
alessio romagnoli,2016,40.0,0.0,0,107
alessio romagnoli,2017,12.0,0.0,0,37
alex,2012,8.0,0.0,4,86
alex,2013,16.0,0.0,6,130
alex,2014,48.0,0.0,6,210
alex,2015,24.0,0.0,4,102
alex,2016,40.0,0.0,6,160
alex berenguer,2017,4.0,0.0,0,49
alex bruce,2014,8.0,0.0,0,37
alex bruce,2015,12.0,0.0,0,37
alex cordaz,2015,0.0,6.0,0,1
alex cordaz,2017,0.0,6.0,0,8
alex ferrari,2016,24.0,0.0,0,68
alex ferrari,2017,0.0,0.0,0,1
alex iwobi,2016,0.0,0.0,2,23
alex iwobi,2017,4.0,0.0,2,49
alex mccarthy,2015,0.0,0.0,0,2
alex mccarthy,2016,0.0,0.0,0,2
alex pritchard,2016,0.0,0.0,0,4
alex sandro,2016,28.0,0.0,2,92
alex sandro,2017,20.0,0.0,2,90
alex telles,2016,24.0,0.0,0,66
alexander baumjohann,2012,4.0,0.0,0,28
alexander baumjohann,2014,0.0,0.0,0,11
alexander baumjohann,2016,0.0,0.0,1,26
alexander djiku,2015,0.0,0.0,1,12
alexander djiku,2016,20.0,6.0,0,70
alexander djiku,2017,4.0,0.0,1,37
alexander esswein,2012,12.0,0.0,4,121
alexander esswein,2013,4.0,0.0,2,114
alexander esswein,2014,0.0,0.0,0,60
alexander esswein,2015,0.0,0.0,1,57
alexander esswein,2016,4.0,0.0,3,124
alexander esswein,2017,8.0,0.0,2,48
alexander farnerud,2014,16.0,0.0,4,65
alexander farnerud,2015,8.0,0.0,1,80
alexander farnerud,2016,0.0,0.0,0,4
alexander hack,2016,4.0,0.0,0,16
alexander hack,2017,0.0,0.0,0,18
alexander madlung,2012,12.0,0.0,1,74
alexander madlung,2013,4.0,6.0,2,43
alexander madlung,2014,4.0,0.0,2,45
alexander madlung,2015,20.0,0.0,5,67
alexander manninger,2013,0.0,0.0,0,8
alexander manninger,2014,0.0,0.0,0,11
alexander manninger,2015,0.0,0.0,0,8
alexander manninger,2016,0.0,0.0,0,1
alexander meier,2013,16.0,0.0,16,202
alexander meier,2014,0.0,0.0,6,91
alexander meier,2015,0.0,0.0,19,137
alexander meier,2016,8.0,0.0,12,89
alexander meier,2017,4.0,0.0,4,59
alexander merkel,2012,4.0,0.0,0,50
alexander merkel,2013,4.0,0.0,1,27
alexander merkel,2016,4.0,0.0,0,5
alexander ring,2012,0.0,0.0,0,14
alexander ring,2013,0.0,0.0,0,9
alexander schwolow,2014,0.0,0.0,0,4
alexander schwolow,2017,4.0,0.0,0,2
alexander stolz,2014,0.0,0.0,0,1
alexander szymanowski,2017,0.0,0.0,3,50
alexander tettey,2012,16.0,0.0,1,37
alexander tettey,2014,28.0,0.0,1,51
alexander tettey,2016,44.0,0.0,2,82
alexandre coeff,2014,4.0,0.0,0,16
alexandre coeff,2016,20.0,0.0,0,73
alexandre lacazette,2012,24.0,0.0,5,122
alexandre lacazette,2013,0.0,0.0,3,139
alexandre lacazette,2014,36.0,0.0,15,218
alexandre lacazette,2015,24.0,0.0,27,241
alexandre lacazette,2016,20.0,0.0,21,234
alexandre lacazette,2017,8.0,0.0,17,111
alexandre letellier,2016,4.0,0.0,0,15
alexandre llovet,2017,0.0,0.0,0,2
alexandre mendy,2016,0.0,0.0,1,26
alexandre mendy,2017,0.0,0.0,1,25
alexandre song,2013,12.0,0.0,1,45
alexandre song,2014,8.0,0.0,1,50
alexandre song,2015,16.0,0.0,0,127
alexandre song,2016,4.0,0.0,0,26
alexandros tziolis,2012,8.0,0.0,0,25
alexandru maxim,2013,8.0,0.0,1,42
alexandru maxim,2014,12.0,0.0,7,103
alexandru maxim,2015,12.0,0.0,2,88
alexandru maxim,2016,4.0,0.0,1,64
alexis,2012,12.0,0.0,2,39
alexis,2013,44.0,12.0,3,102
alexis,2014,64.0,0.0,0,125
alexis,2015,52.0,6.0,1,99
alexis,2016,28.0,0.0,1,50
alexis,2017,32.0,0.0,1,43
alexis blin,2015,4.0,0.0,0,16
alexis blin,2016,20.0,0.0,0,80
alexis blin,2017,12.0,0.0,0,63
alexis zapata,2015,0.0,0.0,0,1
alexy bosetti,2013,8.0,6.0,0,43
alexy bosetti,2014,8.0,0.0,5,44
alexy bosetti,2015,12.0,0.0,5,91
alfie mawson,2017,0.0,0.0,2,20
alfred duncan,2013,4.0,0.0,0,5
alfred duncan,2014,24.0,0.0,0,98
alfred duncan,2015,12.0,0.0,1,65
alfred duncan,2016,16.0,0.0,1,112
alfred duncan,2017,0.0,0.0,0,24
alfredo morales,2012,12.0,0.0,0,18
alfredo morales,2016,28.0,0.0,1,146
alfredo morales,2017,12.0,0.0,1,49
alhassan wakaso,2017,0.0,0.0,0,3
alhassane bangoura,2012,4.0,0.0,0,10
ali adnan,2016,24.0,0.0,1,102
ali adnan,2017,0.0,0.0,0,27
ali ahamada,2012,4.0,0.0,0,30
ali ahamada,2013,4.0,6.0,1,40
ali ahamada,2014,4.0,0.0,0,12
ali ahamada,2015,0.0,0.0,1,19
ali ahamada,2016,0.0,0.0,0,3
aliaksandr hleb,2012,0.0,0.0,1,11
alioune fall,2015,8.0,0.0,0,24
aljaz struna,2016,48.0,0.0,1,81
allan,2013,56.0,0.0,0,312
allan,2014,56.0,0.0,0,262
allan,2015,64.0,0.0,2,336
allan,2016,32.0,0.0,6,300
allan,2017,24.0,0.0,0,132
allan mcgregor,2014,0.0,12.0,0,22
allan mcgregor,2015,0.0,0.0,0,20
almen abdi,2012,8.0,0.0,0,86
almen abdi,2016,16.0,0.0,2,110
almog cohen,2012,20.0,0.0,0,67
almog cohen,2013,4.0,0.0,0,24
almog cohen,2016,8.0,0.0,0,48
almog cohen,2017,4.0,0.0,2,73
alois confais,2016,12.0,0.0,0,48
alou diarra,2012,24.0,0.0,2,123
alou diarra,2013,4.0,0.0,0,38
alou diarra,2014,4.0,0.0,0,10
alou diarra,2017,16.0,0.0,2,34
alphonse areola,2015,4.0,0.0,0,28
alphonse areola,2016,4.0,0.0,0,31
alphonse areola,2017,0.0,0.0,0,2
aly cissokho,2012,20.0,0.0,2,87
aly cissokho,2013,24.0,6.0,2,83
aly cissokho,2014,8.0,0.0,0,35
aly cissokho,2015,4.0,0.0,1,71
aly cissokho,2016,12.0,6.0,0,50
aly ndom,2016,0.0,0.0,0,17
amadou diawara,2016,48.0,6.0,0,100
amadou diawara,2017,0.0,0.0,0,19
amin younes,2013,0.0,0.0,1,27
amin younes,2014,0.0,0.0,0,9
amine harit,2017,16.0,0.0,1,114
amir abrashi,2017,8.0,0.0,1,43
amos youga,2016,16.0,6.0,0,69
anastasios donis,2017,0.0,0.0,0,7
ander herrera,2014,4.0,0.0,0,10
ander herrera,2015,24.0,0.0,6,116
ander herrera,2016,16.0,0.0,3,77
ander herrera,2017,16.0,0.0,0,98
anders christiansen,2015,0.0,0.0,0,7
anders konradsen,2015,8.0,0.0,2,48
anders lindegaard,2014,0.0,0.0,0,2
andre gray,2017,8.0,0.0,6,65
andre wisdom,2015,4.0,0.0,0,38
andre wisdom,2016,4.0,0.0,0,10
andrea barberis,2017,4.0,0.0,0,28
andrea barzagli,2012,12.0,0.0,1,84
andrea barzagli,2013,20.0,0.0,0,84
andrea barzagli,2014,12.0,0.0,1,49
andrea barzagli,2015,8.0,0.0,0,17
andrea barzagli,2016,8.0,0.0,1,48
andrea barzagli,2017,8.0,0.0,0,17
andrea belotti,2015,12.0,0.0,6,154
andrea belotti,2016,16.0,0.0,12,250
andrea belotti,2017,20.0,0.0,14,177
andrea bertolacci,2012,8.0,0.0,3,83
andrea bertolacci,2013,28.0,0.0,4,153
andrea bertolacci,2014,28.0,0.0,2,155
andrea bertolacci,2015,40.0,0.0,6,225
andrea bertolacci,2016,24.0,0.0,1,120
andrea bertolacci,2017,4.0,0.0,1,15
andrea caracciolo,2012,8.0,12.0,3,178
andrea catellani,2012,4.0,0.0,1,69
andrea coda,2012,4.0,0.0,0,22
andrea coda,2013,12.0,0.0,0,48
andrea coda,2014,44.0,0.0,0,72
andrea coda,2015,4.0,0.0,0,4
andrea coda,2016,4.0,0.0,0,5
andrea coda,2017,12.0,0.0,0,16
andrea consigli,2012,12.0,6.0,0,29
andrea consigli,2013,16.0,0.0,0,36
andrea consigli,2014,12.0,0.0,0,49
andrea consigli,2015,8.0,6.0,0,38
andrea consigli,2016,12.0,6.0,1,42
andrea consigli,2017,4.0,0.0,0,12
andrea conti,2016,12.0,0.0,2,41
andrea conti,2017,28.0,0.0,2,63
andrea costa,2013,24.0,6.0,1,101
andrea costa,2014,48.0,0.0,0,81
andrea costa,2015,16.0,0.0,1,76
andrea costa,2016,16.0,0.0,1,60
andrea costa,2017,12.0,0.0,2,43
andrea esposito,2012,36.0,0.0,1,85
andrea lazzari,2012,24.0,0.0,2,148
andrea lazzari,2013,28.0,0.0,1,100
andrea lazzari,2014,12.0,0.0,1,89
andrea lazzari,2015,0.0,0.0,0,5
andrea lazzari,2016,4.0,0.0,1,25
andrea lisuzzo,2012,12.0,0.0,0,54
andrea mantovani,2012,16.0,0.0,2,87
andrea mantovani,2013,8.0,0.0,0,11
andrea mantovani,2014,24.0,0.0,0,44
andrea masiello,2012,16.0,0.0,1,50
andrea masiello,2015,12.0,0.0,0,42
andrea masiello,2016,24.0,0.0,0,82
andrea masiello,2017,12.0,0.0,3,50
andrea nalini,2017,4.0,0.0,0,19
andrea petagna,2014,4.0,0.0,0,11
andrea petagna,2017,4.0,0.0,4,101
andrea pirlo,2012,20.0,0.0,3,177
andrea pirlo,2013,32.0,0.0,5,165
andrea pirlo,2014,16.0,0.0,4,102
andrea pirlo,2015,0.0,0.0,4,62
andrea poli,2012,8.0,0.0,0,62
andrea poli,2013,20.0,0.0,3,181
andrea poli,2014,16.0,0.0,2,63
andrea poli,2015,20.0,0.0,1,118
andrea poli,2016,4.0,0.0,0,29
andrea poli,2017,4.0,0.0,0,10
andrea raggi,2012,16.0,0.0,0,86
andrea raggi,2014,8.0,0.0,1,70
andrea raggi,2015,32.0,0.0,0,72
andrea raggi,2016,20.0,0.0,2,66
andrea raggi,2017,0.0,0.0,0,16
andrea ranocchia,2012,8.0,6.0,1,47
andrea ranocchia,2013,44.0,0.0,2,128
andrea ranocchia,2014,36.0,0.0,1,95
andrea ranocchia,2015,36.0,0.0,2,131
andrea ranocchia,2016,28.0,0.0,0,70
andrea ranocchia,2017,8.0,0.0,0,22
andrea rispoli,2015,20.0,0.0,0,88
andrea rispoli,2016,12.0,0.0,0,62
andrea rispoli,2017,8.0,0.0,2,49
andrea rossi,2012,20.0,0.0,0,35
andrea seculin,2016,0.0,0.0,0,4
andrea tabanelli,2014,0.0,0.0,0,12
andrea tabanelli,2015,0.0,0.0,0,29
andreas beck,2012,48.0,0.0,1,164
andreas beck,2013,20.0,0.0,1,158
andreas beck,2014,16.0,0.0,1,138
andreas beck,2015,20.0,0.0,1,134
andreas christensen,2015,0.0,0.0,0,1
andreas christensen,2016,4.0,0.0,4,62
andreas christensen,2017,0.0,0.0,1,31
andreas cornelius,2014,0.0,0.0,0,7
andreas granqvist,2012,12.0,0.0,2,102
andreas granqvist,2013,28.0,0.0,1,137
andreas lambertz,2013,32.0,0.0,2,160
andreas ludwig,2013,0.0,0.0,0,8
andreas pereira,2015,0.0,0.0,0,1
andreas pereira,2016,8.0,0.0,0,5
andreas pereira,2017,24.0,0.0,2,85
andreas weimann,2014,4.0,0.0,4,96
andreas weimann,2015,20.0,0.0,3,78
andres tello,2017,20.0,0.0,0,43
andrew robertson,2015,28.0,0.0,0,52
andrew robertson,2017,12.0,0.0,0,31
andrew surman,2016,16.0,0.0,0,69
andrew surman,2017,4.0,0.0,0,27
andrew taylor,2014,0.0,0.0,0,24
andrew wooten,2012,0.0,0.0,1,27
andros townsend,2014,0.0,0.0,1,62
andros townsend,2015,8.0,0.0,2,38
andros townsend,2016,0.0,0.0,4,52
andros townsend,2017,12.0,0.0,1,78
andy carroll,2014,0.0,6.0,2,105
andy carroll,2015,8.0,0.0,5,84
andy carroll,2016,8.0,0.0,9,127
andy carroll,2017,4.0,0.0,5,55
andy delort,2012,8.0,0.0,0,36
andy delort,2013,8.0,0.0,1,46
andy delort,2016,20.0,0.0,11,328
andy king,2015,4.0,0.0,2,44
andy king,2016,8.0,0.0,2,41
andy king,2017,8.0,0.0,1,40
angelo ogbonna,2013,8.0,6.0,0,53
angelo ogbonna,2014,20.0,0.0,0,51
angelo ogbonna,2015,16.0,0.0,0,59
angelo ogbonna,2016,20.0,0.0,0,70
angelo ogbonna,2017,8.0,0.0,0,19
angelo palombo,2012,0.0,0.0,0,13
angelo palombo,2013,16.0,0.0,0,49
angelo palombo,2014,16.0,0.0,1,118
angelo palombo,2015,28.0,0.0,1,129
angelo palombo,2016,0.0,0.0,0,17
angelo palombo,2017,4.0,0.0,0,6
aniello salzano,2017,0.0,0.0,0,14
ante budimir,2017,0.0,0.0,0,29
anthony annan,2013,4.0,0.0,0,20
anthony annan,2014,0.0,0.0,0,2
anthony jung,2017,0.0,0.0,1,16
anthony knockaert,2015,0.0,0.0,0,20
anthony koura,2017,0.0,0.0,1,43
anthony lippini,2012,24.0,6.0,0,82
anthony lippini,2013,8.0,0.0,1,31
anthony lopes,2013,0.0,0.0,0,5
anthony lopes,2014,8.0,0.0,0,25
anthony lopes,2015,4.0,0.0,1,33
anthony lopes,2016,8.0,0.0,0,29
anthony lopes,2017,0.0,0.0,0,9
anthony martial,2013,4.0,0.0,0,7
anthony martial,2014,0.0,0.0,2,44
anthony martial,2015,4.0,0.0,9,160
